start_ip,end_ip,join_key,city,region,country,latitude,longitude,postal_code,timezone
101.73.240.0,101.73.240.127,101.73.0.0,Youfang,Hebei,CN,37.01144,115.76967,,Asia/Shanghai
105.105.30.148,105.105.30.151,105.105.0.0,Tolga,Biskra,DZ,34.6783,5.2874,07051,Africa/Algiers
101.205.12.155,101.205.12.156,101.205.0.0,Qingdao,Shandong,CN,36.06488,120.38042,,Asia/Shanghai
103.109.53.0,103.109.53.127,103.109.0.0,Dinājpur,Rangpur Division,BD,25.62745,88.63779,5220,Asia/Dhaka
105.42.211.128,105.42.211.143,105.42.0.0,Samālūţ,Minya,EG,28.31214,30.71007,,Africa/Cairo
105.163.31.144,105.163.31.155,105.163.0.0,Nairobi,Nairobi Area,KE,-1.28333,36.81667,,Africa/Nairobi
102.159.64.45,102.159.64.45,102.159.0.0,Sfax,Şafāqis,TN,34.74056,10.76028,,Africa/Tunis
1.24.164.248,1.24.165.15,1.24.0.0,Tianjin,Tianjin,CN,39.14222,117.17667,,Asia/Shanghai
104.190.78.0,104.190.78.255,104.190.0.0,San Jose,California,US,37.33939,-121.89496,95103,America/Los_Angeles
105.9.75.32,105.9.75.175,105.9.0.0,Cape Town,Western Cape,ZA,-33.9778,18.61668,7100,Africa/Johannesburg
104.48.69.20,104.48.69.21,104.48.0.0,Youngstown,Ohio,US,41.0704,-80.6931,44511,America/New_York
105.33.104.32,105.33.104.63,105.33.0.0,Fāraskūr,Damietta,EG,31.32977,31.71507,,Africa/Cairo
1.200.178.150,1.200.178.185,1.200.0.0,Kaohsiung,Takao,TW,22.61626,120.31333,,Asia/Taipei
103.253.69.0,103.253.69.255,103.253.0.0,Jakarta,Jakarta,ID,-6.21462,106.84513,,Asia/Jakarta
105.9.67.232,105.9.67.255,105.9.0.0,Cape Town,Western Cape,ZA,-33.92584,18.42322,7945,Africa/Johannesburg
104.28.38.179,104.28.38.180,104.28.0.0,Abu Dhabi,Abu Dhabi,AE,24.45118,54.39696,,Asia/Dubai
102.187.89.148,102.187.89.165,102.187.0.0,Ţanţā,Gharbia,EG,30.78847,31.00192,,Africa/Cairo
102.109.180.114,102.109.180.115,102.109.0.0,Sousse,Sūsah,TN,35.82539,10.63699,,Africa/Tunis
105.103.76.228,105.103.76.233,105.103.0.0,Bejaïa,Béjaïa,DZ,36.7116,5.0135,06062,Africa/Algiers
104.242.67.0,104.242.67.255,104.242.0.0,Toronto,Ontario,CA,43.9007,-79.2175,L6B,America/Toronto
1.180.134.224,1.180.134.255,1.180.0.0,Shanghai,Shanghai,CN,31.22222,121.45806,,Asia/Shanghai
